Var1,var2
BILL_lag7,UNRATE_lag1
BILL_lag7,UNRATE_lag2
BILL_lag7,UNRATE_lag3
BILL_lag7,UNRATE_lag4
BILL_lag7,UNRATE_lag5
BILL_lag7,UNRATE_lag6
BILL_lag7,UNRATE_lag7
BILL_lag7,UNRATE_lag8
BILL_lag7,UNRATE_lag9
BILL_lag7,UNRATE_lag10
BILL_lag8,UNRATE_lag1
BILL_lag8,UNRATE_lag2
BILL_lag8,UNRATE_lag3
BILL_lag8,UNRATE_lag4
BILL_lag8,UNRATE_lag5
BILL_lag8,UNRATE_lag6
BILL_lag8,UNRATE_lag7
BILL_lag8,UNRATE_lag8
BILL_lag8,UNRATE_lag9
BILL_lag8,UNRATE_lag10
BILL_lag9,UNRATE_lag1
BILL_lag9,UNRATE_lag2
BILL_lag9,UNRATE_lag3
BILL_lag9,UNRATE_lag4
BILL_lag9,UNRATE_lag5
BILL_lag9,UNRATE_lag6
BILL_lag9,UNRATE_lag7
BILL_lag9,UNRATE_lag8
BILL_lag9,UNRATE_lag9
BILL_lag9,UNRATE_lag10
BILL_lag10,UNRATE_lag1
BILL_lag10,UNRATE_lag2
BILL_lag10,UNRATE_lag3
BILL_lag10,UNRATE_lag4
BILL_lag10,UNRATE_lag5
BILL_lag10,UNRATE_lag6
BILL_lag10,UNRATE_lag7
BILL_lag10,UNRATE_lag8
BILL_lag10,UNRATE_lag9
BILL_lag10,UNRATE_lag10
HI_lag1,UNRATE_lag1
HI_lag1,UNRATE_lag2
HI_lag1,UNRATE_lag3
HI_lag1,UNRATE_lag4
HI_lag1,UNRATE_lag5
HI_lag1,UNRATE_lag6
HI_lag1,UNRATE_lag7
HI_lag1,UNRATE_lag8
HI_lag1,UNRATE_lag9
HI_lag1,UNRATE_lag10
HI_lag2,UNRATE_lag1
HI_lag2,UNRATE_lag2
HI_lag2,UNRATE_lag3
HI_lag2,UNRATE_lag4
HI_lag2,UNRATE_lag5
HI_lag2,UNRATE_lag6
HI_lag2,UNRATE_lag7
HI_lag2,UNRATE_lag8
HI_lag2,UNRATE_lag9
HI_lag2,UNRATE_lag10
HI_lag3,UNRATE_lag1
HI_lag3,UNRATE_lag2
HI_lag3,UNRATE_lag3
HI_lag3,UNRATE_lag4
HI_lag3,UNRATE_lag5
HI_lag3,UNRATE_lag6
HI_lag3,UNRATE_lag7
HI_lag3,UNRATE_lag8
HI_lag3,UNRATE_lag9
HI_lag3,UNRATE_lag10
HI_lag4,UNRATE_lag1
HI_lag4,UNRATE_lag2
HI_lag4,UNRATE_lag3
HI_lag4,UNRATE_lag4
HI_lag4,UNRATE_lag5
HI_lag4,UNRATE_lag6
HI_lag4,UNRATE_lag7
